direction,entry_time,exit_time,entry_price,exit_price,qty,notional,pnl,return_pct,r_multiple,hold_hours,entry_label,exit_label,entry_regime,exit_regime,entry_bar,exit_bar,cumulative_pnl,trade_number,is_win,running_win_rate,running_profit_factor
SHORT,2024-01-01 01:30:00,2024-01-01 01:45:00,42646.8,42613.56,0.00703453,300.0,0.1739,0.0779,0.058,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,6,7,0.1739,1,1,100.0,0.0
LONG,2024-01-01 03:30:00,2024-01-01 03:45:00,42400.49,42330.49,0.00707547,300.0,-0.5552,-0.1651,-0.1851,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,14,15,-0.38130000000000003,2,0,50.0,0.3132204610951008
SHORT,2024-01-01 08:45:00,2024-01-01 09:00:00,42542.14,42574.24,0.00705148,299.98,-0.2864,-0.0754,-0.0955,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,1,2,35,36,-0.6677,3,0,33.33333333333333,0.20663022813688212
LONG,2024-01-02 00:45:00,2024-01-02 01:00:00,44822.39,44841.22,0.00669252,299.97,0.066,0.042,0.022,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,2,2,99,100,-0.6016999999999999,4,1,50.0,0.28505228136882127
LONG,2024-01-03 11:15:00,2024-01-03 16:00:00,44569.08,43253.93,0.00673056,299.97,-8.9099,-2.9508,-2.9702,4.75,BUY_OPEN_LONG,STOP_LONG,0,0,237,256,-9.5116,5,0,40.0,0.024601343383069272
LONG,2024-01-03 16:00:00,2024-01-03 16:15:00,42897.12,43434.39,0.00698661,299.71,3.693,1.2525,1.2322,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,256,257,-5.8186,6,1,50.0,0.40331231092652414
LONG,2024-01-03 16:30:00,2024-01-03 16:45:00,43017.16,42992.67,0.00696963,299.81,-0.2306,-0.0569,-0.0769,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,258,259,-6.0492,7,0,42.857142857142854,0.39399525150018533
LONG,2024-01-03 18:30:00,2024-01-03 18:45:00,42555.6,42255.72,0.00704502,299.81,-2.1722,-0.7047,-0.7245,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,266,267,-8.2214,8,0,37.5,0.3235809548883934
SHORT,2024-01-03 18:45:00,2024-01-03 19:00:00,42574.75,42450.01,0.00704028,299.74,0.8184,0.293,0.273,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,-2,267,268,-7.402999999999999,9,1,44.44444444444444,0.3909151493710045
SHORT,2024-01-03 19:30:00,2024-01-03 19:45:00,42824.48,42596.67,0.00699975,299.76,1.535,0.532,0.5121,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,270,271,-5.8679999999999986,10,1,50.0,0.5172079017302519
SHORT,2024-01-03 21:45:00,2024-01-03 22:00:00,42954.13,42922.08,0.00697966,299.81,0.1638,0.0746,0.0546,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,279,280,-5.704199999999998,11,1,54.54545454545454,0.5306846136758184
LONG,2024-01-03 22:15:00,2024-01-03 22:30:00,42704.0,42653.32,0.00702061,299.81,-0.4157,-0.1187,-0.1387,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,281,282,-6.119899999999999,12,0,50.0,0.513134447096261
SHORT,2024-01-04 00:00:00,2024-01-04 00:15:00,42867.87,42890.36,0.00699344,299.79,-0.2173,-0.0525,-0.0725,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,288,289,-6.337199999999998,13,0,46.15384615384615,0.5044145362977329
LONG,2024-01-04 01:15:00,2024-01-04 01:30:00,42675.91,42664.01,0.00702472,299.79,-0.1435,-0.0279,-0.0479,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,293,294,-6.480699999999999,14,0,42.857142857142854,0.498816778544251
SHORT,2024-01-04 02:00:00,2024-01-04 02:15:00,42877.33,42884.01,0.00699158,299.78,-0.1067,-0.0156,-0.0356,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,296,297,-6.587399999999999,15,0,40.0,0.4947344199424737
SHORT,2024-01-04 02:45:00,2024-01-04 03:00:00,43098.43,43155.24,0.0069556,299.78,-0.4552,-0.1318,-0.1518,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,299,300,-7.042599999999998,16,0,37.5,0.4780436828803724
LONG,2024-01-04 07:30:00,2024-01-04 07:45:00,42939.46,42763.08,0.00698099,299.76,-1.291,-0.4108,-0.4307,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,318,319,-8.333599999999999,17,0,35.294117647058826,0.4362980850531329
SHORT,2024-01-04 07:45:00,2024-01-04 08:00:00,42976.9,42859.29,0.00697397,299.72,0.7604,0.2736,0.2537,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,319,320,-7.573199999999999,18,1,38.88888888888889,0.48773311146735937
SHORT,2024-01-04 09:30:00,2024-01-04 09:45:00,43073.59,43007.74,0.0069588,299.74,0.3984,0.1529,0.1329,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,326,327,-7.174799999999999,19,1,42.10526315789473,0.5146817102619777
LONG,2024-01-04 10:15:00,2024-01-04 10:30:00,42792.7,43014.0,0.00700471,299.75,1.4899,0.5171,0.497,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,329,330,-5.684899999999999,20,1,45.0,0.6154616232742819
LONG,2024-01-04 10:30:00,2024-01-04 10:45:00,42798.93,43073.26,0.0070047,299.79,1.8613,0.641,0.6208,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,330,331,-3.823599999999999,21,1,47.61904761904761,0.7413637993195209
SHORT,2024-01-04 12:15:00,2024-01-04 12:30:00,43288.63,43267.11,0.0069267,299.85,0.0891,0.0497,0.0297,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,337,338,-3.734499999999999,22,1,50.0,0.7473907073330763
SHORT,2024-01-04 13:45:00,2024-01-04 14:00:00,43483.45,43303.27,0.00689569,299.85,1.1827,0.4144,0.3944,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,343,344,-2.5517999999999987,23,1,52.17391304347826,0.8273909779013374
SHORT,2024-01-04 14:45:00,2024-01-04 15:00:00,43519.79,43820.8,0.00689071,299.88,-2.1346,-0.6917,-0.7118,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,2,347,348,-4.686399999999999,24,0,50.0,0.7229981735753593
SHORT,2024-01-04 14:45:00,2024-01-04 15:15:00,43736.3,44154.01,0.00685659,299.88,-2.9246,-0.9551,-0.9752,0.5,SELL_OPEN_SHORT,PRUNE_DEVIANCE,0,2,347,349,-7.610999999999999,25,0,48.0,0.6164371135267527
LONG,2024-01-05 01:45:00,2024-01-05 02:00:00,43601.7,43642.16,0.00687621,299.81,0.2182,0.0928,0.0728,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,-2,391,392,-7.3927999999999985,26,1,50.0,0.6274334900644564
LONG,2024-01-05 01:45:00,2024-01-05 02:15:00,43382.59,43302.0,0.00691094,299.81,-0.6168,-0.1858,-0.2057,0.5,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,391,393,-8.009599999999999,27,0,48.148148148148145,0.6085182089668959
LONG,2024-01-05 01:45:00,2024-01-05 02:30:00,43163.49,43597.34,0.00694602,299.81,2.953,1.0051,0.9849,0.75,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,391,394,-5.0565999999999995,28,1,50.0,0.752850726061477
LONG,2024-01-05 01:45:00,2024-01-05 02:45:00,42944.38,43506.0,0.00698146,299.81,3.8602,1.3078,1.2875,1.0,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,391,395,-1.1963999999999997,29,1,51.724137931034484,0.9415240692678778
LONG,2024-01-05 01:45:00,2024-01-05 03:00:00,42725.28,43609.25,0.00701726,299.81,6.1418,2.069,2.0485,1.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,391,396,4.9454,30,1,53.333333333333336,1.2417141991329295
LONG,2024-01-05 01:45:00,2024-01-05 03:15:00,42506.18,43555.18,0.00705343,299.81,7.3376,2.4679,2.4474,1.5,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,391,397,12.283000000000001,31,1,54.83870967741935,1.6003509337869077
SHORT,2024-01-05 09:00:00,2024-01-05 09:15:00,44006.1,43975.46,0.00681093,299.72,0.1488,0.0696,0.0496,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,1,420,421,12.4318,32,1,56.25,1.6076237676994285
LONG,2024-01-05 10:45:00,2024-01-05 11:00:00,43755.58,43722.0,0.00686348,300.32,-0.2905,-0.0768,-0.0967,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,427,428,12.141300000000001,33,0,54.54545454545454,1.5851172518819094
LONG,2024-01-05 10:45:00,2024-01-05 11:15:00,43535.71,43858.4,0.00689814,300.32,2.1655,0.7412,0.7211,0.5,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,427,429,14.3068,34,1,55.88235294117647,1.689477691781284
SHORT,2024-01-05 12:15:00,2024-01-05 12:30:00,43940.61,43914.0,0.00683429,300.3,0.1218,0.0606,0.0406,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,433,434,14.428600000000001,35,1,57.14285714285714,1.6953475147227495
LONG,2024-01-05 14:15:00,2024-01-05 14:30:00,43693.63,43617.83,0.00687445,300.37,-0.5811,-0.1735,-0.1934,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,441,442,13.847500000000002,36,0,55.55555555555556,1.6491634358899832
LONG,2024-01-05 14:30:00,2024-01-05 14:45:00,43399.74,43486.04,0.00692056,300.35,0.537,0.1988,0.1788,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,442,443,14.384500000000003,37,1,56.75675675675676,1.6743377103130141
LONG,2024-01-05 14:30:00,2024-01-05 14:45:00,43181.65,43762.23,0.00695552,300.35,0.3977,1.3445,0.1324,0.25,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,442,443,14.782200000000003,38,1,57.89473684210527,1.6929816748158808
SHORT,2024-01-05 14:45:00,2024-01-05 15:00:00,43762.24,43781.21,0.00686352,300.36,3.6984,-0.0433,1.2313,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,-1,443,444,18.480600000000003,39,1,58.97435897435898,1.866360700004219
SHORT,2024-01-05 20:45:00,2024-01-05 21:00:00,44069.48,43754.68,0.00681829,300.48,2.0867,0.7143,0.6945,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,2,467,468,20.567300000000003,40,1,60.0,1.964184086295725
LONG,2024-01-06 06:00:00,2024-01-06 06:15:00,43535.91,43582.29,0.00690325,300.54,0.26,0.1065,0.0865,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,-2,504,505,20.827300000000005,41,1,60.97560975609756,1.9763727480275461
SHORT,2024-01-06 14:00:00,2024-01-06 14:15:00,43800.2,43853.99,0.00686173,300.55,-0.4293,-0.1228,-0.1428,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,536,537,20.398000000000003,42,0,59.523809523809526,1.9373822412984933
SHORT,2024-01-06 18:30:00,2024-01-06 18:45:00,44073.26,43995.89,0.00681889,300.53,0.4676,0.1755,0.1556,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,554,555,20.865600000000004,43,1,60.46511627906976,1.9588706193763035
LONG,2024-01-06 20:00:00,2024-01-06 20:15:00,43775.91,43859.91,0.00686549,300.54,0.5165,0.1919,0.1718,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,560,561,21.382100000000005,44,1,61.36363636363637,1.98260617813847
SHORT,2024-01-07 00:30:00,2024-01-07 00:45:00,44079.21,44119.11,0.00681856,300.56,-0.3322,-0.0905,-0.1105,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,2,578,579,21.049900000000004,45,0,60.0,1.9527945756083425
LONG,2024-01-07 02:30:00,2024-01-07 02:45:00,43898.51,43930.28,0.00684635,300.54,0.1573,0.0724,0.0523,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,586,587,21.207200000000004,46,1,60.86956521739131,1.9599145422943216
SHORT,2024-01-07 08:30:00,2024-01-07 08:45:00,44149.93,44017.99,0.00680743,300.55,0.8383,0.2988,0.2789,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,2,0,610,611,22.045500000000004,47,1,61.702127659574465,1.9978590309965232
SHORT,2024-01-07 13:00:00,2024-01-07 13:15:00,44238.08,44386.49,0.0067944,300.57,-1.0687,-0.3355,-0.3555,0.25,SELL_OPEN_SHORT,PRUNE_DEVIANCE,0,2,628,629,20.976800000000004,48,0,60.416666666666664,1.905675366448632
LONG,2024-01-07 15:15:00,2024-01-07 15:30:00,44164.56,44092.01,0.00680494,300.54,-0.5537,-0.1643,-0.1842,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,637,638,20.423100000000005,49,0,59.183673469387756,1.8611818580488457
LONG,2024-01-07 16:45:00,2024-01-07 17:00:00,43871.55,44030.09,0.00684997,300.52,1.0257,0.3614,0.3413,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,-2,643,644,21.448800000000006,50,1,60.0,1.9044326001889078
SHORT,2024-01-07 19:45:00,2024-01-07 20:00:00,44250.24,44229.24,0.006792,300.55,0.0826,0.0475,0.0275,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,1,655,656,21.531400000000005,51,1,60.78431372549019,1.9079155984347587
LONG,2024-01-07 22:15:00,2024-01-07 22:30:00,44008.09,43978.45,0.00682939,300.55,-0.2625,-0.0674,-0.0873,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,665,666,21.268900000000006,52,0,59.61538461538461,1.887028363854748
LONG,2024-01-07 23:15:00,2024-01-07 23:30:00,43758.56,43619.99,0.00686811,300.54,-1.0116,-0.3167,-0.3366,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,669,670,20.257300000000004,53,0,58.490566037735846,1.8106389534720855
SHORT,2024-01-07 23:30:00,2024-01-07 23:45:00,43838.09,43929.02,0.00685492,300.51,-0.6835,-0.2074,-0.2275,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,-2,670,671,19.573800000000006,54,0,57.407407407407405,1.762433392539964
SHORT,2024-01-08 06:15:00,2024-01-08 06:30:00,44148.67,44016.5,0.00680619,300.48,0.8396,0.2994,0.2794,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,2,697,698,20.413400000000006,55,1,58.18181818181818,1.7951372659000961
LONG,2024-01-08 07:30:00,2024-01-08 07:45:00,43796.42,43974.55,0.00686147,300.51,1.1619,0.4067,0.3866,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,702,703,21.575300000000006,56,1,58.92857142857143,1.840395282166339
LONG,2024-01-08 09:45:00,2024-01-08 10:00:00,43754.68,43799.07,0.00686877,300.54,0.2448,0.1015,0.0814,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,711,712,21.820100000000007,57,1,59.64912280701754,1.8499306659187928
SHORT,2024-01-08 10:15:00,2024-01-08 10:30:00,44018.07,43970.04,0.00682779,300.55,0.2679,0.1091,0.0891,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,713,714,22.088000000000008,58,1,60.3448275862069,1.8603658346576917
SHORT,2024-01-08 11:00:00,2024-01-08 11:15:00,44189.89,44196.69,0.00680139,300.55,-0.1064,-0.0154,-0.0354,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,716,717,21.981600000000007,59,0,59.32203389830508,1.8526874379344582
LONG,2024-01-08 11:15:00,2024-01-08 11:30:00,43975.71,44246.23,0.0068344,300.55,1.7884,0.6152,0.595,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,717,718,23.770000000000007,60,1,60.0,1.922061196623634
SHORT,2024-01-08 11:45:00,2024-01-08 12:00:00,44467.46,45139.84,0.00675998,300.6,-4.6063,-1.5121,-1.5324,0.25,SELL_OPEN_SHORT,STOP_SHORT,1,2,719,720,19.163700000000006,61,0,59.01639344262295,1.6306856888976646
LONG,2024-01-08 12:00:00,2024-01-08 12:15:00,44915.38,44518.16,0.00668945,300.46,-2.7168,-0.8844,-0.9042,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,2,2,720,721,16.446900000000007,62,0,58.06451612903226,1.4968506720076846
LONG,2024-01-08 12:00:00,2024-01-08 12:15:00,44689.68,44755.52,0.00672324,300.46,0.0382,0.1473,0.0127,0.25,BUY_OPEN_LONG,SELL_CLOSE_LONG,2,2,720,721,16.485100000000006,63,1,58.730158730158735,1.4980046703703365
LONG,2024-01-08 12:30:00,2024-01-08 12:45:00,44570.92,45111.09,0.00674009,300.41,3.58,1.2119,1.1917,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,722,723,20.065100000000008,64,1,59.375,1.6061542551423913
LONG,2024-01-08 14:45:00,2024-01-08 15:00:00,44777.94,44814.14,0.00671129,300.52,0.1828,0.0809,0.0608,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,731,732,20.24790000000001,65,1,60.0,1.611676530029635
SHORT,2024-01-08 15:30:00,2024-01-08 15:45:00,45057.73,44963.04,0.0066697,300.52,0.5716,0.2101,0.1902,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,734,735,20.81950000000001,66,1,60.60606060606061,1.628944212335698
SHORT,2024-01-08 15:30:00,2024-01-08 16:00:00,45301.32,44997.99,0.00663384,300.52,1.9525,0.6696,0.6497,0.5,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,734,736,22.77200000000001,67,1,61.19402985074627,1.687928029170178
SHORT,2024-01-08 17:15:00,2024-01-08 17:30:00,45242.1,45402.0,0.00664282,300.54,-1.1225,-0.3534,-0.3735,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,2,741,742,21.64950000000001,68,0,60.29411764705882,1.63256761179028
LONG,2024-01-09 21:15:00,2024-01-09 21:30:00,45163.55,45967.86,0.00665488,300.56,5.2914,1.7809,1.7605,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,2,0,853,854,26.94090000000001,69,1,60.86956521739131,1.7871747972230656
LONG,2024-01-09 21:15:00,2024-01-09 21:45:00,44925.11,45439.44,0.0066902,300.56,3.3802,1.1449,1.1246,0.5,BUY_OPEN_LONG,PRUNE_OLDEST,2,0,853,855,30.32110000000001,70,1,61.42857142857143,1.8859394357308144
