bar,timestamp,price,qty,label,regime,pnl,datetime
3,1765500300000.0,0.13968804999999998,64.42927652007457,BUY_OPEN_LONG,0,0.0,2025-12-12 00:45:00
3,1765500300000.0,0.13898609999999997,64.75467690653959,BUY_OPEN_LONG,0,0.0,2025-12-12 00:45:00
4,1765501200000.0,0.13973,64.75467690653959,PRUNE_OLDEST,0,0.0009022675883879495,2025-12-12 01:00:00
4,1765501200000.0,0.13903135,64.73301933720454,BUY_OPEN_LONG,0,0.0,2025-12-12 01:00:00
5,1765502100000.0,0.14032,64.73301933720454,PRUNE_OLDEST,0,0.08455898827292976,2025-12-12 01:15:00
6,1765503000000.0,0.14049,0.0,PRUNE_OLDEST,0,0.092603950278877,2025-12-12 01:30:00
8,1765504800000.0,0.1410216,6.473301933720454,SELL_CLOSE_LONG,0,0.0,2025-12-12 02:00:00
8,1765504800000.0,0.1410216,63.8370422556646,SELL_OPEN_SHORT,0,0.0,2025-12-12 02:00:00
9,1765505700000.0,0.1409,0.0,PRUNE_OLDEST,0,0.005963656487524154,2025-12-12 02:15:00
17,1765512900000.0,0.1401955,64.23390802096641,BUY_OPEN_LONG,0,0.0,2025-12-12 04:15:00
18,1765513800000.0,0.14044,0.0,PRUNE_OLDEST,0,0.013900988502633934,2025-12-12 04:30:00
24,1765519200000.0,0.1411422,63.80563608743072,SELL_OPEN_SHORT,0,0.0,2025-12-12 06:00:00
25,1765520100000.0,0.14096,0.0,PRUNE_OLDEST,0,0.009826578402552615,2025-12-12 06:15:00
33,1765527300000.0,0.1402552,64.21087141955763,BUY_OPEN_LONG,0,0.0,2025-12-12 08:15:00
34,1765528200000.0,0.14021,0.0,PRUNE_OLDEST,0,-0.004702932644510935,2025-12-12 08:30:00
39,1765532700000.0,0.14091105,63.91062652427418,SELL_OPEN_SHORT,0,0.0,2025-12-12 09:45:00
40,1765533600000.0,0.14134,0.0,PRUNE_OLDEST,0,-0.029221088838174536,2025-12-12 10:00:00
56,1765548000000.0,0.1406333,64.03023197739968,BUY_OPEN_LONG,0,0.0,2025-12-12 14:00:00
57,1765548900000.0,0.1403,0.0,PRUNE_OLDEST,0,-0.02313796462735192,2025-12-12 14:15:00
58,1765549800000.0,0.1410015,63.85772247182821,SELL_OPEN_SHORT,0,0.0,2025-12-12 14:30:00
59,1765550700000.0,0.14066,0.0,PRUNE_OLDEST,0,0.020010966775551517,2025-12-12 14:45:00
60,1765551600000.0,0.13995670000000002,64.33833435560298,BUY_OPEN_LONG,0,0.0,2025-12-12 15:00:00
61,1765552500000.0,0.13795,0.0,PRUNE_DEVIANCE,0,-0.13088283019626137,2025-12-12 15:15:00
61,1765552500000.0,0.13863974999999998,64.92077811388995,SELL_OPEN_SHORT,0,0.0,2025-12-12 15:15:00
61,1765552500000.0,0.1393295,64.59938812322713,SELL_OPEN_SHORT,0,0.0,2025-12-12 15:15:00
62,1765553400000.0,0.1375,0.0,CIRCUIT_BREAKER_HALT,-2,0.0,2025-12-12 15:30:00
74,1765564200000.0,0.13695,64.59938812322713,PRUNE_OLDEST,0,0.10792170470540545,2025-12-12 18:30:00
75,1765565100000.0,0.13657,0.0,PRUNE_OLDEST,0,0.17649754383884733,2025-12-12 18:45:00
76,1765566000000.0,0.13585460072051103,66.27475288800876,BUY_OPEN_LONG,0,0.0,2025-12-12 19:00:00
76,1765566000000.0,0.1358567135845497,6.459938812322713,BUY_CLOSE_SHORT,0,0.0,2025-12-12 19:00:00
77,1765566900000.0,0.13619,0.0,PRUNE_OLDEST,0,0.020423312647784336,2025-12-12 19:15:00
92,1765580400000.0,0.13714894880504808,65.69196317772577,SELL_OPEN_SHORT,2,0.0,2025-12-12 23:00:00
93,1765581300000.0,0.1369,0.0,PRUNE_OLDEST,2,0.014555289782551339,2025-12-12 23:15:00
214,1765690200000.0,0.13805,0.0,CIRCUIT_BREAKER_HALT,-2,0.0,2025-12-14 05:30:00
232,1765706400000.0,0.13741945,65.56543703206732,BUY_OPEN_LONG,0,0.0,2025-12-14 10:00:00
233,1765707300000.0,0.13745,0.0,PRUNE_OLDEST,-2,0.00020063023731749056,2025-12-14 10:15:00
239,1765712700000.0,0.13679,0.0,CIRCUIT_BREAKER_HALT,-2,0.0,2025-12-14 11:45:00
249,1765721700000.0,0.1362553,66.1252681918844,BUY_OPEN_LONG,0,0.0,2025-12-14 14:15:00
250,1765722600000.0,0.13579,0.0,PRUNE_OLDEST,0,-0.03256391732323913,2025-12-14 14:30:00
252,1765724400000.0,0.13511104999999998,66.67764981499619,BUY_OPEN_LONG,0,0.0,2025-12-14 15:00:00
253,1765725300000.0,0.13538,0.0,PRUNE_OLDEST,-2,0.016127589871353574,2025-12-14 15:15:00
257,1765728900000.0,0.1360569,66.21727418755617,SELL_OPEN_SHORT,0,0.0,2025-12-14 16:15:00
258,1765729800000.0,0.13534,0.0,PRUNE_OLDEST,0,0.04567879468735159,2025-12-14 16:30:00
260,1765731600000.0,0.13466329999999999,66.91231657286892,BUY_OPEN_LONG,0,0.0,2025-12-14 17:00:00
260,1765731600000.0,0.13398659999999998,67.25025756566119,BUY_OPEN_LONG,0,0.0,2025-12-14 17:00:00
261,1765732500000.0,0.1338,67.25025756566119,PRUNE_OLDEST,0,-0.059555976488846606,2025-12-14 17:15:00
262,1765733400000.0,0.13398,0.0,PRUNE_OLDEST,0,-0.002245889601662518,2025-12-14 17:30:00
267,1765737900000.0,0.13461296442127837,6.725025756566117,SELL_CLOSE_LONG,0,0.0,2025-12-14 18:45:00
267,1765737900000.0,0.13461369560096262,66.92289750484947,SELL_OPEN_SHORT,0,0.0,2025-12-14 18:45:00
268,1765738800000.0,0.13434,0.0,PRUNE_OLDEST,0,0.016518418240590055,2025-12-14 19:00:00
272,1765742400000.0,0.13362272100217018,67.42201183535062,BUY_OPEN_LONG,0,0.0,2025-12-14 20:00:00
273,1765743300000.0,0.13417,0.0,PRUNE_OLDEST,0,0.03508944880333189,2025-12-14 20:15:00
279,1765748700000.0,0.1334605428399128,67.51142408041774,BUY_OPEN_LONG,0,0.0,2025-12-14 21:45:00
280,1765749600000.0,0.13425,0.0,PRUNE_OLDEST,0,0.05148469539141097,2025-12-14 22:00:00
282,1765751400000.0,0.13357875,67.46283960481753,BUY_OPEN_LONG,0,0.0,2025-12-14 22:30:00
283,1765752300000.0,0.13426,0.0,PRUNE_OLDEST,0,0.044147547311713005,2025-12-14 22:45:00
286,1765755000000.0,0.13358869999999998,67.46732427720801,BUY_OPEN_LONG,0,0.0,2025-12-14 23:30:00
286,1765755000000.0,0.1329174,67.8080683392141,BUY_OPEN_LONG,0,0.0,2025-12-14 23:30:00
287,1765755900000.0,0.13408,67.8080683392141,PRUNE_OLDEST,0,0.03133749264957656,2025-12-14 23:45:00
288,1765756800000.0,0.13423,0.0,PRUNE_OLDEST,0,0.0871844950994177,2025-12-15 00:00:00
289,1765757700000.0,0.13482692190759968,6.7808068339214085,SELL_CLOSE_LONG,0,0.0,2025-12-15 00:15:00
289,1765757700000.0,0.13482713037689456,66.85378593898425,SELL_OPEN_SHORT,0,0.0,2025-12-15 00:15:00
290,1765758600000.0,0.13451,0.0,PRUNE_OLDEST,0,0.019402865782328416,2025-12-15 00:30:00
292,1765760400000.0,0.13529442235201106,66.64611515267077,SELL_OPEN_SHORT,0,0.0,2025-12-15 01:00:00
293,1765761300000.0,0.13506,0.0,PRUNE_OLDEST,0,0.013823094203983975,2025-12-15 01:15:00
294,1765762200000.0,0.1358198565651462,66.39094217421219,SELL_OPEN_SHORT,0,0.0,2025-12-15 01:30:00
294,1765762200000.0,0.13657971313029235,66.0215784369404,SELL_OPEN_SHORT,0,0.0,2025-12-15 01:30:00
295,1765763100000.0,0.13639,66.0215784369404,PRUNE_OLDEST,1,-0.03966337193501449,2025-12-15 01:45:00
296,1765764000000.0,0.13687,0.0,PRUNE_OLDEST,1,-0.020972472025749655,2025-12-15 02:00:00
347,1765809900000.0,0.13550264106884577,66.53678529475057,BUY_OPEN_LONG,0,0.0,2025-12-15 14:45:00
347,1765809900000.0,0.13461528213769153,66.9753834222737,BUY_OPEN_LONG,0,0.0,2025-12-15 14:45:00
347,1765809900000.0,0.1337279232065373,67.41980223341042,BUY_OPEN_LONG,0,0.0,2025-12-15 14:45:00
347,1765809900000.0,0.13284056427538307,67.87015837255214,BUY_OPEN_LONG,0,0.0,2025-12-15 14:45:00
347,1765809900000.0,0.13550321729458895,6.60215784369404,BUY_CLOSE_SHORT,0,0.0,2025-12-15 14:45:00
347,1765809900000.0,0.1346158583634347,6.60215784369404,BUY_CLOSE_SHORT,0,0.0,2025-12-15 14:45:00
347,1765809900000.0,0.1337284994322805,6.60215784369404,BUY_CLOSE_SHORT,0,0.0,2025-12-15 14:45:00
347,1765809900000.0,0.13284114050112625,6.60215784369404,BUY_CLOSE_SHORT,0,0.0,2025-12-15 14:45:00
348,1765810800000.0,0.13274,66.9753834222737,PRUNE_OLDEST,-2,-0.18558367422025646,2025-12-15 15:00:00
