direction,entry_time,exit_time,entry_price,exit_price,qty,notional,pnl,return_pct,r_multiple,hold_hours,entry_label,exit_label,entry_regime,exit_regime,entry_bar,exit_bar,cumulative_pnl,trade_number,is_win,running_win_rate,running_profit_factor
LONG,2025-12-12 00:45:00,2025-12-12 01:00:00,0.14,0.14,64.42927652,9.0,0.0009,0.03,0.01,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,3,4,0.0009,1,1,100.0,0.0
LONG,2025-12-12 00:45:00,2025-12-12 01:15:00,0.14,0.14,64.75467691,9.0,0.0846,0.9597,0.9395,0.5,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,3,5,0.08549999999999999,2,1,100.0,0.0
LONG,2025-12-12 01:00:00,2025-12-12 01:30:00,0.14,0.14,64.73301934,9.0,0.0926,1.0492,1.0289,0.5,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,4,6,0.17809999999999998,3,1,100.0,0.0
SHORT,2025-12-12 02:00:00,2025-12-12 02:15:00,0.14,0.14,63.83704226,9.0,0.006,0.0862,0.0662,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,8,9,0.18409999999999999,4,1,100.0,0.0
LONG,2025-12-12 04:15:00,2025-12-12 04:30:00,0.14,0.14,64.23390802,9.01,0.0139,0.1744,0.1544,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,17,18,0.19799999999999998,5,1,100.0,0.0
SHORT,2025-12-12 06:00:00,2025-12-12 06:15:00,0.14,0.14,63.80563609,9.01,0.0098,0.1291,0.1091,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,24,25,0.20779999999999998,6,1,100.0,0.0
LONG,2025-12-12 08:15:00,2025-12-12 08:30:00,0.14,0.14,64.21087142,9.01,-0.0047,-0.0322,-0.0522,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,33,34,0.20309999999999997,7,0,85.71428571428571,44.212765957446805
SHORT,2025-12-12 09:45:00,2025-12-12 10:00:00,0.14,0.14,63.91062652,9.01,-0.0292,-0.3044,-0.3245,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,39,40,0.17389999999999997,8,0,75.0,6.129793510324483
LONG,2025-12-12 14:00:00,2025-12-12 14:15:00,0.14,0.14,64.03023198,9.0,-0.0231,-0.237,-0.257,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,56,57,0.15079999999999996,9,0,66.66666666666666,3.6456140350877195
SHORT,2025-12-12 14:30:00,2025-12-12 14:45:00,0.14,0.14,63.85772247,9.0,0.02,0.2422,0.2222,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,58,59,0.17079999999999995,10,1,70.0,3.9964912280701754
LONG,2025-12-12 15:00:00,2025-12-12 15:15:00,0.14,0.14,64.33833436,9.0,-0.1309,-1.4338,-1.4535,0.25,BUY_OPEN_LONG,PRUNE_DEVIANCE,0,0,60,61,0.03989999999999996,11,0,63.63636363636363,1.2123469930814263
SHORT,2025-12-12 15:15:00,2025-12-12 18:30:00,0.14,0.14,64.92077811,9.0,0.1079,1.2188,1.1991,3.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,61,74,0.14779999999999996,12,1,66.66666666666666,1.7865886109632785
SHORT,2025-12-12 15:15:00,2025-12-12 18:45:00,0.14,0.14,64.59938812,9.0,0.1765,1.9806,1.961,3.5,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,61,75,0.3242999999999999,13,1,69.23076923076923,2.7259180415114423
LONG,2025-12-12 19:00:00,2025-12-12 19:15:00,0.14,0.14,66.27475289,9.0,0.0204,0.2469,0.2268,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,76,77,0.3446999999999999,14,1,71.42857142857143,2.83448642895157
SHORT,2025-12-12 23:00:00,2025-12-12 23:15:00,0.14,0.14,65.69196318,9.01,0.0146,0.1815,0.1616,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,2,2,92,93,0.3592999999999999,15,1,73.33333333333333,2.9121873336881317
LONG,2025-12-14 10:00:00,2025-12-14 10:15:00,0.14,0.14,65.56543703,9.01,0.0002,0.0222,0.0022,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,-2,232,233,0.3594999999999999,16,1,75.0,2.913251729643427
LONG,2025-12-14 14:15:00,2025-12-14 14:30:00,0.14,0.14,66.12526819,9.01,-0.0326,-0.3415,-0.3614,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,249,250,0.32689999999999986,17,0,70.58823529411765,2.482539682539682
LONG,2025-12-14 15:00:00,2025-12-14 15:15:00,0.14,0.14,66.67764981,9.01,0.0161,0.1991,0.179,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,-2,252,253,0.34299999999999986,18,1,72.22222222222221,2.5555555555555554
SHORT,2025-12-14 16:15:00,2025-12-14 16:30:00,0.14,0.14,66.21727419,9.01,0.0457,0.5269,0.507,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,257,258,0.3886999999999999,19,1,73.68421052631578,2.7628117913832195
LONG,2025-12-14 17:00:00,2025-12-14 17:15:00,0.13,0.13,66.91231657,9.01,-0.0596,-0.6411,-0.661,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,260,261,0.3290999999999999,20,0,70.0,2.174937522313459
LONG,2025-12-14 17:00:00,2025-12-14 17:30:00,0.13,0.13,67.25025757,9.01,-0.0022,-0.0049,-0.0249,0.5,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,260,262,0.3268999999999999,21,0,66.66666666666666,2.157987956075097
SHORT,2025-12-14 18:45:00,2025-12-14 19:00:00,0.13,0.13,66.9228975,9.01,0.0165,0.2033,0.1834,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,267,268,0.3433999999999999,22,1,68.18181818181817,2.216436415161176
LONG,2025-12-14 20:00:00,2025-12-14 20:15:00,0.13,0.13,67.42201184,9.01,0.0351,0.4096,0.3895,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,272,273,0.37849999999999995,23,1,69.56521739130434,2.3407722281261067
LONG,2025-12-14 21:45:00,2025-12-14 22:00:00,0.13,0.13,67.51142408,9.01,0.0515,0.5915,0.5714,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,279,280,0.42999999999999994,24,1,70.83333333333334,2.5232022670917464
LONG,2025-12-14 22:30:00,2025-12-14 22:45:00,0.13,0.13,67.4628396,9.01,0.0441,0.51,0.4899,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,282,283,0.47409999999999997,25,1,72.0,2.679419057739993
LONG,2025-12-14 23:30:00,2025-12-14 23:45:00,0.13,0.13,67.46732428,9.01,0.0313,0.3678,0.3477,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,286,287,0.5054,26,1,73.07692307692307,2.790294013460857
