direction,entry_time,exit_time,entry_price,exit_price,qty,notional,pnl,return_pct,r_multiple,hold_hours,entry_label,exit_label,entry_regime,exit_regime,entry_bar,exit_bar,cumulative_pnl,trade_number,is_win,running_win_rate,running_profit_factor
LONG,2026-02-15 01:15:00,2026-02-15 01:30:00,2071.47,2066.78,0.02413609,50.0,0.0014,-0.2263,0.0028,0.25,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,5,6,0.0014,1,1,100.0,0.0
SHORT,2026-02-15 01:30:00,2026-02-15 02:00:00,2066.78,2053.87,0.02418842,49.99,0.0756,0.6248,0.1512,0.5,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,6,8,0.077,2,1,100.0,0.0
LONG,2026-02-15 01:15:00,2026-02-15 04:00:00,2061.06,2081.53,0.02425799,50.0,0.837,0.9931,1.6741,2.75,BUY_OPEN_LONG,PRUNE_GAP,0,0,5,16,0.9139999999999999,3,1,100.0,0.0
LONG,2026-02-15 02:00:00,2026-02-15 04:00:00,2053.87,2081.53,0.02433945,49.99,-0.0774,1.3468,-0.1548,2.0,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,8,16,0.8365999999999999,4,0,75.0,11.808785529715761
LONG,2026-02-15 02:30:00,2026-02-15 04:15:00,2046.85,2083.13,0.02443088,50.01,0.4112,1.7723,0.8223,1.75,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,10,17,1.2477999999999998,5,1,80.0,17.121447028423773
LONG,2026-02-15 04:00:00,2026-02-15 05:00:00,2071.09,2083.5,0.02426801,50.26,-0.0179,0.599,-0.0356,1.0,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,16,20,1.2298999999999998,6,0,66.66666666666666,13.905561385099686
SHORT,2026-02-15 04:15:00,2026-02-15 05:15:00,2083.17,2090.53,0.02412608,50.26,0.8821,-0.3531,1.7552,1.0,SELL_OPEN_SHORT,PRUNE_GAP,0,0,17,21,2.1119999999999997,7,1,71.42857142857143,23.161594963273874
SHORT,2026-02-15 05:15:00,2026-02-15 05:30:00,2088.26,2090.69,0.02411532,50.36,-0.0687,-0.1163,-0.1363,0.25,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,21,22,2.0432999999999995,8,0,62.5,13.459146341463416
SHORT,2026-02-15 07:30:00,2026-02-15 08:15:00,2101.14,2080.96,0.0240998,50.64,0.1191,0.9608,0.2352,0.75,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,30,33,2.1623999999999994,9,1,66.66666666666666,14.185365853658539
LONG,2026-02-15 08:15:00,2026-02-15 08:30:00,2080.95,2063.72,0.02435598,50.68,-0.4297,-0.828,-0.8478,0.25,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,33,34,1.7326999999999995,10,0,60.0,3.9184773454606705
