direction,entry_time,exit_time,entry_price,exit_price,qty,notional,pnl,return_pct,r_multiple,hold_hours,entry_label,exit_label,entry_regime,exit_regime,entry_bar,exit_bar,cumulative_pnl,trade_number,is_win,running_win_rate,running_profit_factor
SHORT,2026-02-15 01:00:00,2026-02-15 02:30:00,88.56,87.73,0.56455349,50.0,0.2416,0.9388,0.4832,1.5,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,4,10,0.2416,1,1,100.0,0.0
SHORT,2026-02-15 01:15:00,2026-02-15 03:30:00,88.23,87.56,0.5666473,49.99,0.2351,0.7582,0.4702,2.25,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,5,14,0.4767,2,1,100.0,0.0
LONG,2026-02-15 02:30:00,2026-02-15 03:45:00,87.73,88.61,0.56981855,49.99,-0.266,1.0041,-0.5322,1.25,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,10,15,0.2107,3,0,66.66666666666666,1.7921052631578946
SHORT,2026-02-15 01:45:00,2026-02-15 03:45:00,88.16,88.17,0.56707112,49.99,0.0043,-0.0098,0.0086,2.0,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,7,15,0.215,4,1,75.0,1.8082706766917294
LONG,2026-02-15 03:30:00,2026-02-15 04:00:00,87.56,89.46,0.57158052,50.05,1.0758,2.1699,2.1495,0.5,BUY_OPEN_LONG,PRUNE_GAP,0,0,14,16,1.2908000000000002,5,1,80.0,5.852631578947369
LONG,2026-02-15 03:45:00,2026-02-15 04:00:00,88.17,89.46,0.56753503,50.04,-0.2424,1.4676,-0.4845,0.25,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,15,16,1.0484000000000002,6,0,66.66666666666666,3.062155782848152
LONG,2026-02-15 04:00:00,2026-02-15 04:15:00,89.01,88.85,0.56460449,50.26,0.2265,-0.1808,0.4506,0.25,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,16,17,1.2749000000000001,7,1,71.42857142857143,3.5076711250983483
SHORT,2026-02-15 04:15:00,2026-02-15 04:30:00,88.85,88.81,0.56558683,50.25,-0.0931,0.0473,-0.1853,0.25,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,17,18,1.1818000000000002,8,0,62.5,2.964754779717374
SHORT,2026-02-15 04:15:00,2026-02-15 04:30:00,89.29,88.37,0.5627869,50.25,0.3826,1.0364,0.7613,0.25,SELL_OPEN_SHORT,BUY_CLOSE_SHORT,0,0,17,18,1.5644000000000002,9,1,66.66666666666666,3.6008312551953456
LONG,2026-02-15 04:30:00,2026-02-15 05:00:00,88.37,89.04,0.5718674,50.53,-0.0295,0.7628,-0.0584,0.5,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,18,20,1.5349000000000002,10,0,60.0,3.4324881141045966
SHORT,2026-02-15 04:15:00,2026-02-15 05:15:00,89.74,89.39,0.56001455,50.25,-0.064,0.3857,-0.1274,1.0,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,17,21,1.4709,11,0,54.54545454545454,3.1164028776978427
SHORT,2026-02-15 05:15:00,2026-02-15 05:30:00,89.24,89.75,0.56733084,50.63,0.5859,-0.5752,1.1573,0.25,SELL_OPEN_SHORT,PRUNE_GAP,0,0,21,22,2.0568,12,1,58.333333333333336,3.9594244604316557
LONG,2026-02-15 05:30:00,2026-02-15 06:30:00,89.3,89.81,0.56776649,50.7,-0.0386,0.5697,-0.0761,1.0,BUY_OPEN_LONG,PRUNE_OFFSET,0,0,22,26,2.0181999999999998,13,0,53.84615384615385,3.7510905125408955
SHORT,2026-02-15 06:30:00,2026-02-15 07:30:00,90.13,90.47,0.56268377,50.71,-0.2473,-0.378,-0.4876,1.0,SELL_OPEN_SHORT,PRUNE_OFFSET,0,0,26,30,1.7708999999999997,14,0,50.0,2.8053828117035384
LONG,2026-02-15 07:30:00,2026-02-15 07:30:00,90.02,90.92,0.56306769,50.69,0.0915,1.005,0.1805,0.0,BUY_OPEN_LONG,SELL_CLOSE_LONG,0,0,30,30,1.8623999999999996,15,1,53.333333333333336,2.898664491793252
