direction,entry_time,exit_time,entry_price,exit_price,qty,notional,pnl,return_pct,r_multiple,hold_hours,entry_label,exit_label,entry_regime,exit_regime,entry_bar,exit_bar,cumulative_pnl,trade_number,is_win,running_win_rate,running_profit_factor
LONG,2024-01-01 03:15:00,2024-01-01 03:30:00,0.61,0.61,489.38084351,300.0,-0.412,-0.1174,-0.1373,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,13,14,-0.412,1,0,0.0,0.0
LONG,2024-01-01 05:45:00,2024-01-01 06:00:00,0.61,0.61,492.39474988,299.99,0.4133,0.1578,0.1378,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,23,24,0.0013000000000000234,2,1,50.0,1.0031553398058253
SHORT,2024-01-01 07:00:00,2024-01-01 07:15:00,0.61,0.61,489.19029775,300.0,-0.4754,-0.1384,-0.1585,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,28,29,-0.47409999999999997,3,0,33.33333333333333,0.46574261888663515
SHORT,2024-01-01 09:30:00,2024-01-01 09:45:00,0.62,0.62,486.05754351,299.98,-0.2202,-0.0534,-0.0734,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,1,0,38,39,-0.6942999999999999,4,0,25.0,0.37314915131816545
SHORT,2024-01-01 11:45:00,2024-01-01 12:00:00,0.62,0.62,483.36773098,299.97,0.6108,0.2236,0.2036,0.25,SELL_OPEN_SHORT,PRUNE_OLDEST,0,2,47,48,-0.08349999999999991,5,1,40.0,0.9246117732033226
LONG,2024-01-03 11:45:00,2024-01-03 12:00:00,0.62,0.6,486.91210623,299.99,-16.2624,-2.9362,-5.421,0.25,BUY_OPEN_LONG,STOP_LONG,-2,-2,239,240,-16.3459,6,0,33.33333333333333,0.058957973517559006
LONG,2024-01-03 11:45:00,2024-01-03 15:45:00,0.61,0.58,489.37125828,299.99,-22.379,-5.9556,-7.46,4.0,BUY_OPEN_LONG,PRUNE_OLDEST,-2,0,239,255,-38.724900000000005,7,0,28.57142857142857,0.025764170167802962
SHORT,2024-01-03 12:00:00,2024-01-03 16:00:00,0.54,0.58,558.21623537,299.5,-19.9011,-7.5625,-6.6448,4.0,SELL_OPEN_SHORT,PRUNE_OLDEST,-2,0,240,256,-58.626000000000005,8,0,25.0,0.0171684540344442
SHORT,2024-01-03 12:00:00,2024-01-03 16:15:00,0.54,0.58,553.34301756,299.5,-18.4537,-7.0669,-6.1616,4.25,SELL_OPEN_SHORT,PRUNE_OLDEST,-2,0,240,257,-77.0797,9,0,22.22222222222222,0.013112038082654109
SHORT,2024-01-03 12:00:00,2024-01-03 16:30:00,0.55,0.57,548.55414959,299.5,-13.1146,-5.2612,-4.3789,4.5,SELL_OPEN_SHORT,PRUNE_OLDEST,-2,0,240,258,-90.1943,10,0,20.0,0.011226901590030081
SHORT,2024-01-03 12:00:00,2024-01-03 16:45:00,0.55,0.58,543.84746025,299.5,-10.7248,-4.4488,-3.581,4.75,SELL_OPEN_SHORT,PRUNE_OLDEST,-2,0,240,259,-100.9191,11,0,18.181818181818183,0.010045790204741464
SHORT,2024-01-03 12:00:00,2024-01-03 17:00:00,0.56,0.57,539.22085221,299.5,-7.5732,-3.3802,-2.5286,5.0,SELL_OPEN_SHORT,PRUNE_OLDEST,-2,0,240,260,-108.4923,12,0,16.666666666666664,0.00935111088384936
SHORT,2024-01-03 12:00:00,2024-01-03 17:15:00,0.56,0.57,534.67229892,299.5,-4.4743,-2.3296,-1.4939,5.25,SELL_OPEN_SHORT,PRUNE_OLDEST,-2,0,240,261,-112.9666,13,0,15.384615384615385,0.008984066244000607
SHORT,2024-01-03 12:00:00,2024-01-03 17:30:00,0.56,0.57,530.19984162,299.5,-2.5838,-1.6861,-0.8627,5.5,SELL_OPEN_SHORT,PRUNE_OLDEST,-2,0,240,262,-115.5504,14,0,14.285714285714285,0.008784940102681119
SHORT,2024-01-03 12:00:00,2024-01-03 17:45:00,0.57,0.57,525.80158656,299.5,-0.3593,-0.9303,-0.12,5.75,SELL_OPEN_SHORT,PRUNE_OLDEST,-2,0,240,263,-115.9097,15,0,13.333333333333334,0.00875794680408915
SHORT,2024-01-03 12:00:00,2024-01-03 18:00:00,0.57,0.57,521.47570231,299.5,2.2427,-0.0477,0.7488,6.0,SELL_OPEN_SHORT,PRUNE_OLDEST,-2,0,240,264,-113.667,16,1,18.75,0.027937174709108913
SHORT,2024-01-03 12:00:00,2024-01-03 21:00:00,0.58,0.58,517.22041721,299.5,1.4785,-0.8892,0.4937,9.0,SELL_OPEN_SHORT,PRUNE_OLDEST,-2,2,240,276,-112.1885,17,1,23.52941176470588,0.04058108091928938
LONG,2024-01-04 01:15:00,2024-01-04 01:30:00,0.58,0.57,512.52273996,296.61,-2.7874,-0.9199,-0.9397,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,-2,293,294,-114.97590000000001,18,0,22.22222222222222,0.039636254898881736
LONG,2024-01-04 01:15:00,2024-01-04 01:45:00,0.57,0.57,517.41882431,296.61,-0.0322,0.0091,-0.0109,0.5,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,293,295,-115.00810000000001,19,0,21.052631578947366,0.03962559726905457
SHORT,2024-01-03 20:45:00,2024-01-04 02:30:00,0.59,0.58,508.8491791,298.81,-0.6604,1.4513,-0.221,5.75,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,275,298,-115.66850000000001,20,0,20.0,0.03940827380250436
SHORT,2024-01-04 02:15:00,2024-01-04 03:00:00,0.58,0.58,513.43169709,296.52,0.079,-0.8087,0.0266,0.75,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,297,300,-115.58950000000002,21,1,23.809523809523807,0.04006434478440179
LONG,2024-01-04 07:15:00,2024-01-04 07:30:00,0.58,0.58,512.39343455,296.5,-0.0884,-0.0098,-0.0298,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,-1,317,318,-115.67790000000001,22,0,22.727272727272727,0.040034953718687295
SHORT,2024-01-04 02:45:00,2024-01-04 07:45:00,0.58,0.57,509.03657786,296.5,3.711,1.4373,1.2516,5.0,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,299,319,-111.96690000000001,23,1,26.08695652173913,0.07083107196383136
SHORT,2024-01-04 07:30:00,2024-01-04 08:00:00,0.58,0.58,509.88668351,296.5,0.1826,0.8587,0.0616,0.5,SELL_OPEN_SHORT,PRUNE_OLDEST,-1,-1,318,320,-111.78430000000002,24,1,29.166666666666668,0.07234639699524158
SHORT,2024-01-04 07:45:00,2024-01-04 12:30:00,0.58,0.58,514.07323198,296.61,0.7651,-0.1784,0.258,4.75,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,319,338,-111.01920000000001,25,1,32.0,0.07869565866847245
SHORT,2024-01-04 12:15:00,2024-01-04 14:00:00,0.58,0.58,511.73792261,296.61,0.4463,-0.0499,0.1505,1.75,SELL_OPEN_SHORT,PRUNE_OLDEST,0,0,337,344,-110.57290000000002,26,1,34.61538461538461,0.08239932548949315
SHORT,2024-01-04 13:45:00,2024-01-04 14:45:00,0.58,0.58,510.64738889,296.63,-0.8741,-0.6042,-0.2947,1.0,SELL_OPEN_SHORT,PRUNE_OLDEST,0,2,343,347,-111.44700000000002,27,0,33.33333333333333,0.08180592092525478
LONG,2024-01-04 14:45:00,2024-01-04 15:00:00,0.58,0.58,510.10281986,296.61,1.7369,0.6057,0.5856,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,2,2,347,348,-109.71010000000001,28,1,35.714285714285715,0.09611596333056784
LONG,2024-01-04 15:00:00,2024-01-04 15:15:00,0.58,0.59,509.6660994,296.66,2.0936,0.7259,0.7057,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,2,2,348,349,-107.61650000000002,29,1,37.93103448275862,0.11336480021223255
LONG,2024-01-04 15:15:00,2024-01-04 15:30:00,0.58,0.59,508.64063127,296.72,1.5331,0.5368,0.5167,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,2,2,349,350,-106.08340000000001,30,1,40.0,0.12599576688365027
LONG,2024-01-04 16:00:00,2024-01-04 16:15:00,0.58,0.58,508.54294677,296.77,-0.3479,-0.0972,-0.1172,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,1,0,352,353,-106.43130000000001,31,0,38.70967741935484,0.1256356583160949
LONG,2024-01-04 18:15:00,2024-01-04 18:30:00,0.58,0.59,511.5864943,296.76,3.5363,1.2119,1.1917,0.25,BUY_OPEN_LONG,PRUNE_OLDEST,0,0,361,362,-102.89500000000001,32,1,40.625,0.15468739987611338
